nr albumu;imiê;nazwisko;pesel;adres;data urodzenia;nr telefonu;mail;;;;;;;
464912;Krzysztof;Raczyñski;01312893599;Ul. G³ogowska 12 ,61-614 Poznañ;28.11.2001;676549999;krzrac@st.amu.edu.pl;;;;;;;
464913;Pawe³;Rostecki;01242519279;Ul. Mazowiecka 4 ,61-614 Poznañ;25.04.2001;653026613;pawros@st.amu.edu.pl;;;;;;;
464914;Sebastian;Smo³uch;01220582273;Ul. Dworcowa 65 ,61-614 Poznañ;05.02.2001;642086546;sebsmo@st.amu.edu.pl;;;;;;;
464915;Jêdrzej;Weso³owski;01262857593;Ul. Rynkowa 52 ,61-614 Poznañ;28.06.2001;613481193;jedwes@st.amu.edu.pl;;;;;;;
464916;Jêdrzej;Rybczyñski;01311014539;Ul. Wiejska 234 ,61-614 Poznañ;10.11.2001;628632371;jedryb@st.amu.edu.pl;;;;"
julstr7@st.amu.edu.pl
";;;
464917;Igor;Mianowany;01283042231;Ul. Pó³wiejska 23 ,61-614 Poznañ;30.08.2001;671436813;igomia@st.amu.edu.pl;;;;;;;
464918;Mi³osz;Menio;01212278999;Ul. Myœliwska 153 ,61-614 Poznañ;22.01.2001;688347037;milmen@st.amu.edu.pl;;;;;;;
464919;Maciej;Matusz;01262492257;Ul. Naramowicka 134 ,61-614 Poznañ;24.06.2001;643766178;macmat@st.amu.edu.pl;;;;;;;
464920;Mateusz Ludwik;Cwojdziñski;01241066376;Ul. Spokojna 124 ,61-614 Poznañ;10.04.2001;693282836;matcwo@st.amu.edu.pl;;;;;;;
464921;Bartosz;Wieczorek;01213057812;Ul. Lipowa 43 ,61-614 Poznañ;30.01.2001;618197645;barwie@st.amu.edu.pl;;;;;;;
464922;Dominika;Leœniewska;01230391166;Ul. Poznañska 12 ,61-614 Poznañ;03.03.2001;672762484;domles@st.amu.edu.pl;;;;;;;
464923;Mi³osz;Konarski;01251688537;Ul. Spokojna 234 ,61-614 Poznañ;16.05.2001;693858819;milkon@st.amu.edu.pl;;;;;;;
464924;Jerzy;Kwiatkowski;01272592378;Ul. Krauthofera 5 ,61-614 Poznañ;25.07.2001;683662434;jerkwi@st.amu.edu.pl;;;;;;;
464925;Joanna;£adyko;01262329768;Ul. Krañcowa 643 ,61-614 Poznañ;23.06.2001;656046372;joalad@st.amu.edu.pl;;;;;;;
464926;Aleksandra;Malejka;01230272126;Ul. Myœliwska 23 ,61-614 Poznañ;02.03.2001;699519858;alemal@st.amu.edu.pl;;;;;;;
464927;Dominik;Miko³ajczyk;01211749713;Ul. Pocztowa 165 ,61-614 Poznañ;17.01.2001;690299753;dommik@st.amu.edu.pl;;;;;;;
464928;Jakub;Sobkiewicz;01261394758;Ul. Rynkowa 75 ,61-614 Poznañ;13.06.2001;626355647;jaksob@st.amu.edu.pl;;;;;;;
464929;Micha³;Szczygie³;01232494171;Ul. Sk³adowa 69 ,61-614 Poznañ;24.03.2001;646736056;micszc@st.amu.edu.pl;;;;;;;
464930;Natalia;Wo³owiec;01221156866;Ul. Pi¹tkowska 234 ,61-614 Poznañ;11.02.2001;630858912;natwol@st.amu.edu.pl;;;;;;;
464931;Artur;Ziêtkiewicz;01260949935;Ul. Pó³wiejska 345 ,61-614 Poznañ;09.06.2001;673907051;artzie@st.amu.edu.pl;;;;;;;
464932;Bartosz;Bronikowski;01320441351;Ul. G³ogowska 123 ,61-614 Poznañ;04.12.2001;616567354;barbro@st.amu.edu.pl;;;;;;;
464933;Mateusz;Mroziñski;01212028174;Ul. Lipowa 34 ,61-614 Poznañ;20.01.2001;688849124;matmro@st.amu.edu.pl;;;;;;;
464934;Micha³;Kamiñski;01252581631;Ul. Myœliwska 89 ,61-614 Poznañ;25.05.2001;629800409;mickam@st.amu.edu.pl;;;;;;;
464935;Miko³aj;Koffnyt;01321663697;Ul. Mazowiecka 63 ,61-614 Poznañ;16.12.2001;618172681;mikkof@st.amu.edu.pl;;;;;;;
464936;Julia;Strysik;01312631441;Ul. Krañcowa 3 ,61-614 Poznañ;26.11.2001;647421179;julstr@st.amu.edu.pl;;;;;;;
464937;Micha³;Gulczyñski;01220268999;Ul. Cicha 23 ,61-614 Poznañ;02.02.2001;635366493;micgul@st.amu.edu.pl;;;;;;;
464938;Dawid;Pylak;01220942378;Ul. Spokojna 23 ,61-614 Poznañ;09.02.2001;666867993;dawpyl@st.amu.edu.pl;;;;;;;
464939;Mateusz;Czapiewski;01212791511;Ul. Pi¹tkowska 5 ,61-614 Poznañ;27.01.2001;683477903;matcza@st.amu.edu.pl;;;;;;;
464940;Micha³;Ho³ubowicz;01233119354;Ul. Bukowska 14 ,61-614 Poznañ;31.03.2001;608667610;michol@st.amu.edu.pl;;;;;;;
464941;Jakub;Leœniak;01262927393;Ul. Pocztowa 189 ,61-614 Poznañ;29.06.2001;641177917;jakles@st.amu.edu.pl;;;;;;;
464942;Adam;Szpilkowski;01322591252;Ul. Dworcowa 13 ,61-614 Poznañ;25.12.2001;615123739;adaszp@st.amu.edu.pl;;;;;;;
464943;Adam;Cherek;01271553835;Ul. Krauthofera 12 ,61-614 Poznañ;15.07.2001;691481180;adache@st.amu.edu.pl;;;;;;;
464944;Jan;KaŸmierczak;01312824797;Ul. Sk³adowa 212 ,61-614 Poznañ;28.11.2001;608571729;jankaz@st.amu.edu.pl;;;;;;;
464945;Kacper;Kalinowski;01282576117;Ul. Wiejska 356 ,61-614 Poznañ;25.08.2001;650771976;kackal@st.amu.edu.pl;;;;;;;
464946;Karol;Filipiak;01270566399;Ul. Naramowicka 34 ,61-614 Poznañ;05.07.2001;669963541;karfil@st.amu.edu.pl;;;;;;;
464947;Jan;Kemnitz;01281088354;Ul. G³ogowska 34 ,61-614 Poznañ;10.08.2001;626450138;jankem@st.amu.edu.pl;;;;;;;
464948;Wojciech;Matuszak;01222311176;Ul. Poznañska 45 ,61-614 Poznañ;23.02.2001;679152371;wojmat@st.amu.edu.pl;;;;;;;
464949;Gabriela;Piekarska;01322194622;Ul. Mazowiecka 43 ,61-614 Poznañ;21.12.2001;605850342;gabpie@st.amu.edu.pl;;;;;;;
